,
deprivation,3
,
glasgow,1
,
england,2
,
liverpool,1
,
manchester,1
,
variations,3
,
fertility,4
,
context,1
,
vary,1
,
couples,1
,
migrations,1
,
contexts,1
,
populations,1
,
ratio,7
,
correlation,1
,
weather,1
,
conditions,2
,
mode,1
,
halifax,1
,
regional,1
,
behavior,4
,
length,2
,
tract,3
,
floor,1
,
four,1
,
distances,1
,
travel,4
,
times,1
,
catheterization,1
,
patients,1
,
minkowski,1
,
metric,1
,
obesity,2
,
association,2
,
exposure,2
,
poverty,2
,
affluence,1
,
grocery,1
,
foods,1
,
sections,1
,
bottlenecks,1
,
heterogeneity,2
,
pregnancies,1
,
coastal,1
,
volumes,1
,
class,1
,
pedestrian,1
,
collisions,1
,
choice,1
,
lines,2
,
desegregation,2
,
policy,2
,
integration,2
,
south,4
,
segregation,5
,
isolation,2
,
difference,1
,
composition,1
,
presence,1
,
charter,1
,
industries,5
,
gis,1
,
nature,1
,
reserves,1
,
industry,1
,
effects,3
,
counter,1
,
urbanization,1
,
health,5
,
srh,1
,
respondents,1
,
indicators,1
,
evaluation,1
,
tourist,1
,
landuse,1
,
networks,1
,
visibility,1
,
immigrants,1
,
immigration,1
,
relationships,4
,
dimensions,1
,
sex,2
,
group,2
,
indicator,1
,
sustainability,1
,
galveston,5
,
flooding,1
,
past,1
,
features,1
,
mile,1
,
distance,1
,
individuals,1
,
employment,2
,
part,1
,
homemaker,1
,
student,1
,
ability,1
,
finland,1
,
autocorrelation,1
,
perspective,2
,
price,1
,
symptoms,1
,
stability,1
,
offences,2
,
violence,1
,
assault,1
,
threat,1
,
theft,1
,
pedestrians,3
,
georgia,3
,
footprint,1
,
filipino,1
,
dataset,1
,
extents,1
,
methods,2
,
analysis,2
,
perspectives,1
,
establishments,1
,
model,1
,
planning,1
,
leeds,1
,
2010,2
,
2030,2
,
thefts,2
,
impacts,1
,
conversion,1
,
interactions,1
,
intensity,1
,
cervix,1
,
cancer,1
,
map,1
,
markers,1
,
air,1
,
pollution,1
,
no2,1
,
birth,2
,
weight,2
,
definitions,1
,
maternal,1
,
position,2
,
a27,4
,
congestion,1
,
expansion,1
,
walkability,1
,
collectors,1
,
glass,1
,
paper,1
,
plastic,1
,
textile,1
,
care,2
,
top,1
